epoch,test_acc,train_acc,test_loss,train_loss
1,0.6517475373175863,0.6789039270056717,0.04295949666824156,0.04777489479595018
2,0.505142247895228,0.4917671028805184,0.03922656069970825,0.040869864806966874
3,0.5276650963938743,0.5234253322777487,0.037281111461444964,0.040166627561438434
4,0.5162055564451402,0.5053505673689045,0.03791739249113694,0.039948349954216804
5,0.5056229958278315,0.4906667274793588,0.03886939997522576,0.040182478590280686
6,0.5803301101074372,0.5937463721647094,0.03761680887162107,0.04150675455994398
7,0.5378915333499904,0.5377174327823926,0.036745413486818666,0.03913530436100312
8,0.47099402249053,0.4540763383946978,0.03680345741579834,0.038836787210650814
9,0.5522650963854034,0.5624411817597131,0.034758884712909034,0.03874447976139564
10,0.5138298946640792,0.5197013513369599,0.033356105963003285,0.03681781553455348
11,0.49027639565342085,0.4883727740696121,0.03610418349938485,0.03895341005465649
12,0.48683144470098166,0.49265059800164274,0.03241164519370181,0.03585601315915006
13,0.46882739797570505,0.44440133615575317,0.0335706006554724,0.035465032242021514
14,0.4291328894735302,0.4187623567635356,0.032815800310627925,0.03709971485207382
15,0.4438589339570198,0.42310395981610854,0.03352446503286223,0.03587512662001316
16,0.45638130614680245,0.45496543998791616,0.031016370408164646,0.03400381385954549
17,0.4381390504138531,0.43430835153139175,0.030368983094553346,0.03330600885583938
18,0.47804052975178524,0.4748884185872146,0.029936554290137245,0.033208278740204655
19,0.4286919493954717,0.4187735966326167,0.02932269375735116,0.032388967706017124
20,0.47957829390505274,0.47914194574826424,0.030530763193241602,0.033330074140747776
21,0.4300006249372984,0.4136270737870997,0.029413813146428,0.03209605674684337
22,0.46924395980066413,0.45205140337737665,0.04246547492673096,0.04728138207195742
23,0.41858595999151976,0.4097662235666325,0.02905968012450968,0.03297243462604226
24,0.4265716971421127,0.4234648740186268,0.02817344806582025,0.030975799112427004
25,0.4254020425550092,0.4293788524408873,0.027269219672216953,0.030838220081861736
26,0.4009959119560225,0.3931694344893455,0.029403700845912824,0.03187645156189654
27,0.5060617003478197,0.5419655992538543,0.03051788244143273,0.03540173341131326
28,0.41160883816532995,0.3915680686551292,0.029026489741015203,0.030524371096918596
29,0.43066662737800765,0.4428616570984898,0.027094739805726173,0.030774228274822235
30,0.39779739455504476,0.40625910579083024,0.02625462239228406,0.030419781315818573
