epoch,test_acc,train_acc,test_loss,train_loss
1,0.6081974211727655,0.5681918106853763,0.05274555405366768,0.046625353359771006
2,0.6831825386069309,0.6499353441755339,0.06197110252472961,0.057114700560720225
3,0.6658447140161663,0.6300090875206825,0.059436235323692986,0.05363188112534366
4,0.6174136555678531,0.5787166292756678,0.054407245615153636,0.048189287914813146
5,0.6084103753139114,0.5682779581011338,0.05278398921188799,0.046600534607773844
6,0.6066899200445811,0.5662340258460501,0.0523885505870708,0.04625069100445914
7,0.6235489685728423,0.5848820217310506,0.05407028493371982,0.04854407143390294
8,0.6607211584068582,0.6219812629137141,0.05737646748718706,0.0511169116039878
9,0.6119925519154293,0.5717855999762859,0.052629817458032406,0.046573909885675
10,0.6120746795307753,0.5723566891407698,0.05295334293425662,0.0471160714921442
11,0.6091918455175601,0.5690630662515884,0.05260147617279905,0.046516316861492914
12,0.6012582237532305,0.5608687697175146,0.05212692091765913,0.04576799608043675
13,0.6035678556151616,0.5626851251103854,0.05237596590542099,0.04569160988897953
14,0.6055672834220386,0.5646145234358656,0.051601407886708826,0.04573246473175229
15,0.6459882211936349,0.6068405945413299,0.05603229160447722,0.04963898257289118
16,0.6214720793075553,0.5808870580163383,0.05328273237908928,0.04715313762426376
17,0.6211480288627876,0.5801117358110379,0.05326131998913959,0.04703579376478797
18,0.604280038546546,0.563636116130762,0.05153261067219151,0.04575138578860505
19,0.5969992228980043,0.5553386043164421,0.050504917658648445,0.04478208881631059
20,0.6016563115260954,0.5605035353947786,0.05134087106556568,0.0452251099050045
21,0.6018122920885238,0.5601490187166223,0.05149901520858691,0.045043528911847514
22,0.6168968462578893,0.5761852982654405,0.05240436274449802,0.04657969971015615
23,0.6178417192194419,0.577024102851992,0.05262599856529421,0.04652595250568922
24,0.626223472708352,0.5864661768896129,0.053802726482882084,0.04749258538907014
25,0.5954675175789775,0.5538403916999493,0.050762914482829644,0.04454543814063072
26,0.5913234290635985,0.5492631845381923,0.050427599150000266,0.04401773709839987
27,0.6210078840885723,0.5803520396730313,0.05289829413867691,0.04665600530152182
28,0.623684466186727,0.5842232289101995,0.053622709894643246,0.04746294567741237
29,0.5929604939968022,0.5510219389504608,0.05099161446673199,0.043981572812043346
30,0.5902209435159699,0.5480019121515265,0.050475690550017126,0.04384848540558398
31,0.5948264787135675,0.5528952879032856,0.05031723102319588,0.0441271959650285
32,0.6645003860787408,0.625219805466185,0.057764963038916727,0.05130630840086243
33,0.6885975875898277,0.6514949631767486,0.06010517246514848,0.053824719981950465
34,0.6242770308950499,0.582753465358109,0.05296189186063785,0.046896347215453396
35,0.6067760486188563,0.5652784134129472,0.051276788549515805,0.04507296062210231
36,0.7455563487085112,0.7091531534219083,0.0678239354809511,0.06126353339952172
37,0.5937085727287608,0.5522343830688756,0.05047055847436479,0.044134369608268
38,0.6097291806949969,0.5680022266643525,0.05230882329848206,0.0453796031911975
39,0.6444424061315892,0.6042075978186716,0.05507708550656883,0.048886020459885736
40,0.5807612671357344,0.5377296361792945,0.04912705155252253,0.0427304719692295
41,0.5959995288910571,0.5558607656304789,0.0504824675402595,0.043793484026077883
42,0.6223427440719054,0.5806912569562526,0.05328100341037639,0.04660399174950655
43,0.5838075350725734,0.5420398850773654,0.049155391391041206,0.042862435495390476
44,0.5783646728763975,0.535923608048653,0.04881690616167865,0.04263960734660764
45,0.5920716085597665,0.5491811306393235,0.050594891593294236,0.043583730723962044
46,0.632720769957132,0.594868587925899,0.053609215374131804,0.04729868496939974
47,0.5830071091165505,0.5403065046085537,0.049685519875831974,0.04304485594473996
48,0.6263272091733552,0.5857325027338276,0.053551390622426004,0.046872392911644814
49,0.572404027472347,0.5298064689458355,0.04818549535228211,0.04200336546863167
50,0.6320172984357895,0.5914614480427611,0.05383053335171301,0.04759886177274787
