epoch,test_acc,train_acc,test_loss,train_loss
1,0.7426429004759667,0.7006820053550948,0.07911155148617273,0.07757883215124167
2,0.7327339285455303,0.6908598914335826,0.07958176457187505,0.07641628710100952
3,0.7216179497467408,0.6798555710467981,0.07802161632232296,0.07513537970416755
4,0.7063484136592169,0.6648185245234568,0.07748139758133193,0.07348525471695998
5,0.6786958605659397,0.6377120514201536,0.0727063288677086,0.07039563777377304
6,0.6157475589759618,0.5781317980500359,0.06428007687469131,0.06349410679082847
7,0.5525343182881447,0.5253765289851533,0.052731225646815254,0.0544377466193536
8,0.5315961109176407,0.5137825177490438,0.046315065648370575,0.04878502986529498
9,0.5284118237547274,0.5186934489403393,0.04217738188007503,0.04558345759558736
10,0.5282772947240928,0.5237852954869127,0.039947029094672896,0.04403236862814542
11,0.5302230827579072,0.5298188477417036,0.038914118793982905,0.04328341698906954
12,0.5314035156615724,0.5336341886579453,0.03872552897455623,0.042958598240341955
13,0.5317773862188709,0.5355223395686185,0.038261646350610606,0.04288601182690523
14,0.5301328212906923,0.5341045594353911,0.038261330315788974,0.04285366441692832
15,0.5310275660802972,0.5361382857470331,0.03832026448064638,0.042662999981526034
16,0.531083053256166,0.536608093424747,0.03793965048581651,0.04267463764374696
17,0.530757420110808,0.5363963653361293,0.03803432588149043,0.042646675632850635
18,0.5312527422397194,0.5374872060163229,0.03835908902212254,0.04262821587905722
19,0.5295194398861116,0.5350015572655795,0.037797132308043324,0.04259051776771407
20,0.5308033151871391,0.5370154808716859,0.037841346585056154,0.042624145366468476
21,0.5305613836531449,0.5369741001434761,0.038235470724915996,0.042601071442793875
22,0.5315531587326405,0.5382568901369877,0.038779236737964226,0.04271865565582965
23,0.5312396031757023,0.5378700755551995,0.03827168633347576,0.04261501449006565
24,0.5303164929279873,0.5367133724118424,0.03829414896594668,0.04254267107948516
25,0.5306668628145824,0.5373668322818648,0.03822318486218314,0.04263966351530506
26,0.5309744539660394,0.5377118699698157,0.0385244741167837,0.04256592671052345
27,0.530695131217038,0.5374062886537616,0.038457536509314785,0.04254321668984242
28,0.5298126603832122,0.5359477538652713,0.03769319938513839,0.04266606034367409
29,0.5313920386193313,0.5383757771567168,0.03866857934055976,0.04262272000891491
30,0.5313694072482217,0.538408070747967,0.038337296218548006,0.04251934273295032
31,0.5290463724218949,0.5350353568214219,0.03827545213178524,0.042531937704358286
32,0.5315234070684338,0.5386484760497342,0.03770090494919749,0.04250979293318628
33,0.5314869429065845,0.5386181471251467,0.037794562002408855,0.042528809925306194
34,0.5318226783689631,0.5391312534903668,0.037774909179187514,0.04251545201082831
35,0.5313141627401939,0.5383476966348609,0.03772192137333953,0.04252534623718956
36,0.5312039519360328,0.5383182742064343,0.038237629801902956,0.042516804146535185
37,0.5304419091653446,0.5371385908332377,0.03782866012702868,0.04255960731613405
38,0.5312333828313426,0.5383495801702055,0.0379371342149753,0.04252056128264052
39,0.5304078140087934,0.5370996537367554,0.03764531038050513,0.04252206400326155
40,0.5321697245244711,0.539618076685062,0.03872872115049547,0.042506309045315945
41,0.5306650338979529,0.5373706782523501,0.03788304755699287,0.04263471135670699
42,0.5310252046615364,0.5379961787302912,0.038965796382681835,0.042536488743227664
43,0.5306548101579308,0.5374972703402779,0.03780935907248154,0.04255246772494131
44,0.5306094425193514,0.5375503627069904,0.038401550893644686,0.04250251456588796
45,0.5306763598671655,0.5376194837750468,0.03838595364568303,0.04251457973229654
46,0.5321207500134137,0.539650089978378,0.03787356861008024,0.042528121506126185
47,0.5307594777285486,0.5377722418096506,0.038440221360007534,0.042503666349695726
48,0.5303765076084133,0.5371280692256706,0.03816573090344957,0.042502648368911836
49,0.5310948494708095,0.538174442308661,0.03813761111023357,0.042512111835977404
50,0.5314475241756064,0.5386169881130942,0.037780261372478266,0.04249979419977341
